3/3/2024 10:38:46 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.04, -0.02, -0.02)#(-0.05, -0.04, -0.03)#(-0.07, -0.05, -0.06)#(-0.10, -0.01, -0.01)#(-0.13, 0.00, -0.02)#(-0.16, 0.00, -0.02)#(-0.10, 0.00, 0.01)#(-0.14, 0.01, 0.02)#(-0.16, 0.01, 0.02)#(-0.09, -0.01, 0.03)#(-0.13, 0.00, 0.04)#(-0.15, 0.00, 0.05)#(-0.03, -0.01, 0.04)#(-0.08, -0.01, 0.05)#(-0.10, -0.01, 0.07)#(-0.12, -0.01, 0.08)#(-0.08, -0.06, -0.08)#(-0.18, 0.01, -0.02)#(-0.19, 0.02, 0.02)#(-0.17, 0.01, 0.05)#(-0.14, -0.01, 0.09)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.06, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.02)#(-0.15, 0.00, 0.02)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.02, 0.07)#(-0.07, -0.07, -0.06)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.05)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.06, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.02)#(-0.15, 0.00, 0.02)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.02, 0.07)#(-0.07, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.05)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.02)#(-0.15, 0.00, 0.02)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.05)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.02)#(-0.15, 0.00, 0.02)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.05)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, 0.00, 0.02)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.07, -0.06, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.05)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, 0.00, 0.02)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.07, -0.06, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, 0.00, 0.02)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.07, -0.06, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.01, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, 0.00, 0.02)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.06, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.01, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.06, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.01, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.01, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.06, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.01, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.01, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.06, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.01, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.01, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, 0.00, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.06, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.01, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.06, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.01, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.06, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.06, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:49 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.02, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.09, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.10, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.10, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.08)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.10, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.07)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.10, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.07)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.10, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.07)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.01)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.10, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.07)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.10, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.07)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.10, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.07)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.10, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.07)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, 0.00, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.10, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.07)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, -0.01, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, -0.01, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.10, -0.01, 0.06)#(-0.11, -0.01, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.07)
3/3/2024 10:38:50 PM#(0.00, 0.00, 0.01)#(0.00, 0.00, 0.01)#(-0.02, -0.01, 0.00)#(-0.03, -0.02, -0.01)#(-0.04, -0.04, -0.03)#(-0.06, -0.05, -0.05)#(-0.09, -0.01, -0.01)#(-0.12, 0.00, -0.01)#(-0.14, 0.00, -0.02)#(-0.09, 0.00, 0.01)#(-0.13, 0.00, 0.01)#(-0.15, -0.01, 0.01)#(-0.08, -0.01, 0.03)#(-0.11, -0.01, 0.04)#(-0.14, -0.01, 0.04)#(-0.03, -0.01, 0.04)#(-0.07, -0.01, 0.05)#(-0.10, -0.01, 0.06)#(-0.11, -0.02, 0.07)#(-0.06, -0.07, -0.07)#(-0.16, -0.01, -0.02)#(-0.17, -0.01, 0.02)#(-0.16, -0.01, 0.04)#(-0.13, -0.02, 0.07)
